subgroup_type,subgroup,total_count,hard_count,hard_ratio
label,0,60,60,1.0
label,1,300,40,0.133333
environment,controlled,180,48,0.266667
environment,adverse,180,52,0.288889
support_type_spoof_only,fixed,150,18,0.12
support_type_spoof_only,hand,150,22,0.146667
attack_type_spoof_only,photo,180,28,0.155556
attack_type_spoof_only,video,120,12,0.1
environment_spoof_only,controlled,150,18,0.12
environment_spoof_only,adverse,150,22,0.146667
environment_real_only,controlled,30,30,1.0
environment_real_only,adverse,30,30,1.0
