video_id,label,split,attack_type,support_type,environment,client_id,dataset_name,score,threshold,pred_label,correct,error_type,margin_to_threshold,class_confidence_margin
devel__real__real__client118_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client118,replay-attack,0.0172784189608964,0.018,0,1,CORRECT,0.0007215810391035977,0.0007215810391035977
devel__real__real__client005_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client005,replay-attack,0.0033380833496762,0.018,0,1,CORRECT,0.014661916650323799,0.014661916650323799
devel__real__real__client118_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client118,replay-attack,0.003264166986231,0.018,0,1,CORRECT,0.014735833013768998,0.014735833013768998
devel__real__real__client015_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client015,replay-attack,0.0019947158871218,0.018,0,1,CORRECT,0.016005284112878198,0.016005284112878198
devel__real__real__client030_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client030,replay-attack,0.0014636774642646,0.018,0,1,CORRECT,0.0165363225357354,0.0165363225357354
devel__real__real__client119_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client119,replay-attack,0.0013190578637559,0.018,0,1,CORRECT,0.0166809421362441,0.0166809421362441
devel__real__real__client015_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client015,replay-attack,0.0012631701750003,0.018,0,1,CORRECT,0.0167368298249997,0.0167368298249997
devel__real__real__client005_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client005,replay-attack,0.0011451670222661,0.018,0,1,CORRECT,0.016854832977733897,0.016854832977733897
devel__real__real__client119_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client119,replay-attack,0.0009507407772947,0.018,0,1,CORRECT,0.0170492592227053,0.0170492592227053
devel__real__real__client022_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client022,replay-attack,0.000892762242901,0.018,0,1,CORRECT,0.017107237757099,0.017107237757099
devel__real__real__client022_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client022,replay-attack,0.0008266114587472,0.018,0,1,CORRECT,0.017173388541252797,0.017173388541252797
devel__real__real__client015_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client015,replay-attack,0.0007337654295208,0.018,0,1,CORRECT,0.017266234570479197,0.017266234570479197
devel__real__real__client101_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client101,replay-attack,0.0007108755737797,0.018,0,1,CORRECT,0.017289124426220298,0.017289124426220298
devel__real__real__client010_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client010,replay-attack,0.0006714524510739,0.018,0,1,CORRECT,0.0173285475489261,0.0173285475489261
devel__real__real__client116_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client116,replay-attack,0.0006529340964996,0.018,0,1,CORRECT,0.017347065903500398,0.017347065903500398
devel__real__real__client116_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client116,replay-attack,0.0006260115452195,0.018,0,1,CORRECT,0.017373988454780498,0.017373988454780498
devel__real__real__client101_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client101,replay-attack,0.0005996147678657,0.018,0,1,CORRECT,0.0174003852321343,0.0174003852321343
devel__real__real__client030_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client030,replay-attack,0.0005992448211393,0.018,0,1,CORRECT,0.017400755178860697,0.017400755178860697
devel__real__real__client114_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client114,replay-attack,0.0005543790889946,0.018,0,1,CORRECT,0.017445620911005398,0.017445620911005398
devel__real__real__client017_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client017,replay-attack,0.0005206486728804,0.018,0,1,CORRECT,0.0174793513271196,0.0174793513271196
devel__real__real__client015_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client015,replay-attack,0.0005044328334571,0.018,0,1,CORRECT,0.017495567166542898,0.017495567166542898
devel__real__real__client114_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client114,replay-attack,0.0004671623014887,0.018,0,1,CORRECT,0.0175328376985113,0.0175328376985113
devel__real__real__client010_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client010,replay-attack,0.0004460425724656,0.018,0,1,CORRECT,0.0175539574275344,0.0175539574275344
devel__real__real__client010_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client010,replay-attack,0.0003677890609568,0.018,0,1,CORRECT,0.0176322109390432,0.0176322109390432
devel__real__real__client030_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client030,replay-attack,0.0003664720385462,0.018,0,1,CORRECT,0.017633527961453798,0.017633527961453798
devel__real__real__client119_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client119,replay-attack,0.0003606390726583,0.018,0,1,CORRECT,0.0176393609273417,0.0176393609273417
devel__real__real__client003_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client003,replay-attack,0.0003268569866618,0.018,0,1,CORRECT,0.017673143013338197,0.017673143013338197
devel__real__real__client017_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client017,replay-attack,0.000326433293098,0.018,0,1,CORRECT,0.017673566706901997,0.017673566706901997
devel__real__real__client029_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client029,replay-attack,0.000322096420198,0.018,0,1,CORRECT,0.017677903579802,0.017677903579802
devel__real__real__client010_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client010,replay-attack,0.000314282462403,0.018,0,1,CORRECT,0.017685717537597,0.017685717537597
devel__real__real__client003_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client003,replay-attack,0.0003026834271043,0.018,0,1,CORRECT,0.017697316572895697,0.017697316572895697
devel__real__real__client030_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client030,replay-attack,0.0002980172708207,0.018,0,1,CORRECT,0.0177019827291793,0.0177019827291793
devel__real__real__client017_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client017,replay-attack,0.0002926066676578,0.018,0,1,CORRECT,0.017707393332342197,0.017707393332342197
devel__real__real__client022_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client022,replay-attack,0.0002730795663823,0.018,0,1,CORRECT,0.017726920433617697,0.017726920433617697
devel__real__real__client101_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client101,replay-attack,0.0002674744834869,0.018,0,1,CORRECT,0.0177325255165131,0.0177325255165131
devel__real__real__client022_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client022,replay-attack,0.0002643761465812,0.018,0,1,CORRECT,0.0177356238534188,0.0177356238534188
devel__real__real__client119_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client119,replay-attack,0.0002574059657159,0.018,0,1,CORRECT,0.0177425940342841,0.0177425940342841
devel__real__real__client101_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client101,replay-attack,0.0002536270330892,0.018,0,1,CORRECT,0.017746372966910798,0.017746372966910798
devel__real__real__client118_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client118,replay-attack,0.0002529402858768,0.018,0,1,CORRECT,0.017747059714123197,0.017747059714123197
devel__real__real__client017_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client017,replay-attack,0.0002470051496691,0.018,0,1,CORRECT,0.017752994850330897,0.017752994850330897
devel__real__real__client029_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client029,replay-attack,0.0002387365781363,0.018,0,1,CORRECT,0.0177612634218637,0.0177612634218637
devel__real__real__client111_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client111,replay-attack,0.000237838089974,0.018,0,1,CORRECT,0.017762161910025998,0.017762161910025998
devel__real__real__client118_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client118,replay-attack,0.0002367730048717,0.018,0,1,CORRECT,0.0177632269951283,0.0177632269951283
devel__real__real__client005_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client005,replay-attack,0.0002337627930418,0.018,0,1,CORRECT,0.017766237206958198,0.017766237206958198
devel__real__real__client111_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client111,replay-attack,0.0002119133344174,0.018,0,1,CORRECT,0.017788086665582598,0.017788086665582598
devel__real__real__client029_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client029,replay-attack,0.000211634339807,0.018,0,1,CORRECT,0.017788365660192998,0.017788365660192998
devel__real__real__client029_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client029,replay-attack,0.0002107864182273,0.018,0,1,CORRECT,0.017789213581772698,0.017789213581772698
devel__real__real__client003_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client003,replay-attack,0.0002105771061244,0.018,0,1,CORRECT,0.017789422893875598,0.017789422893875598
devel__real__real__client003_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client003,replay-attack,0.0002061709198063,0.018,0,1,CORRECT,0.0177938290801937,0.0177938290801937
devel__real__real__client113_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client113,replay-attack,0.0002059693612285,0.018,0,1,CORRECT,0.0177940306387715,0.0177940306387715
devel__real__real__client005_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client005,replay-attack,0.0002001824918393,0.018,0,1,CORRECT,0.0177998175081607,0.0177998175081607
