video_id,label,split,attack_type,support_type,environment,dataset_name,score,threshold,pred_label,correct,error_type
devel__real__real__client003_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,replay-attack,0.5223867297172546,0.0,1,0,FP
devel__real__real__client003_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client003_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client003_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client005_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client005_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client005_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client005_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client010_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,replay-attack,0.5223867297172546,0.0,1,0,FP
devel__real__real__client010_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client010_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client010_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client015_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client015_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client015_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client015_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client017_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,replay-attack,0.5223867297172546,0.0,1,0,FP
devel__real__real__client017_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,replay-attack,0.5223867297172546,0.0,1,0,FP
devel__real__real__client017_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client017_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client022_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client022_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client022_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client022_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client029_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client029_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client029_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client029_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client030_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client030_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,replay-attack,0.5223867297172546,0.0,1,0,FP
devel__real__real__client030_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client030_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client101_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
devel__real__real__client101_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,replay-attack,0.5223867893218994,0.0,1,0,FP
