video_id,label,split,attack_type,support_type,environment,client_id,dataset_name,score,threshold,pred_label,correct,error_type,margin_to_threshold,class_confidence_margin
devel__real__real__client118_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client118,replay-attack,0.0172784189608964,0.018,0,1,CORRECT,0.0007215810391035,0.0007215810391035
devel__real__real__client005_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client005,replay-attack,0.0033380833496762,0.018,0,1,CORRECT,0.0146619166503237,0.0146619166503237
devel__real__real__client118_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client118,replay-attack,0.003264166986231,0.018,0,1,CORRECT,0.0147358330137689,0.0147358330137689
devel__real__real__client015_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client015,replay-attack,0.0019947158871218,0.018,0,1,CORRECT,0.0160052841128781,0.0160052841128781
devel__real__real__client030_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client030,replay-attack,0.0014636774642646,0.018,0,1,CORRECT,0.0165363225357354,0.0165363225357354
devel__real__real__client119_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client119,replay-attack,0.0013190578637559,0.018,0,1,CORRECT,0.0166809421362441,0.0166809421362441
devel__real__real__client015_session01_webcam_authenticate_adverse_2,0,devel,real,real,adverse,client015,replay-attack,0.0012631701750003,0.018,0,1,CORRECT,0.0167368298249997,0.0167368298249997
devel__real__real__client005_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client005,replay-attack,0.0011451670222661,0.018,0,1,CORRECT,0.0168548329777338,0.0168548329777338
devel__real__real__client119_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client119,replay-attack,0.0009507407772947,0.018,0,1,CORRECT,0.0170492592227053,0.0170492592227053
devel__real__real__client022_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client022,replay-attack,0.000892762242901,0.018,0,1,CORRECT,0.017107237757099,0.017107237757099
devel__real__real__client022_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client022,replay-attack,0.0008266114587472,0.018,0,1,CORRECT,0.0171733885412527,0.0171733885412527
devel__real__real__client015_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client015,replay-attack,0.0007337654295208,0.018,0,1,CORRECT,0.0172662345704791,0.0172662345704791
devel__real__real__client101_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client101,replay-attack,0.0007108755737797,0.018,0,1,CORRECT,0.0172891244262202,0.0172891244262202
devel__real__real__client010_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client010,replay-attack,0.0006714524510739,0.018,0,1,CORRECT,0.0173285475489261,0.0173285475489261
devel__real__real__client116_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client116,replay-attack,0.0006529340964996,0.018,0,1,CORRECT,0.0173470659035003,0.0173470659035003
devel__real__real__client116_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client116,replay-attack,0.0006260115452195,0.018,0,1,CORRECT,0.0173739884547804,0.0173739884547804
devel__real__real__client101_session01_webcam_authenticate_controlled_1,0,devel,real,real,controlled,client101,replay-attack,0.0005996147678657,0.018,0,1,CORRECT,0.0174003852321343,0.0174003852321343
devel__real__real__client030_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client030,replay-attack,0.0005992448211393,0.018,0,1,CORRECT,0.0174007551788606,0.0174007551788606
devel__real__real__client114_session01_webcam_authenticate_adverse_1,0,devel,real,real,adverse,client114,replay-attack,0.0005543790889946,0.018,0,1,CORRECT,0.0174456209110053,0.0174456209110053
devel__real__real__client017_session01_webcam_authenticate_controlled_2,0,devel,real,real,controlled,client017,replay-attack,0.0005206486728804,0.018,0,1,CORRECT,0.0174793513271196,0.0174793513271196
