video_id,label,attack_type,split,video_path
attack_highdef_client003_session01_highdef_photo_adverse,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client003_session01_highdef_photo_adverse.mov
attack_highdef_client003_session01_highdef_photo_controlled,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client003_session01_highdef_photo_controlled.mov
attack_highdef_client003_session01_highdef_video_adverse,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client003_session01_highdef_video_adverse.mov
attack_highdef_client003_session01_highdef_video_controlled,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client003_session01_highdef_video_controlled.mov
attack_highdef_client005_session01_highdef_photo_adverse,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client005_session01_highdef_photo_adverse.mov
attack_highdef_client005_session01_highdef_photo_controlled,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client005_session01_highdef_photo_controlled.mov
attack_highdef_client005_session01_highdef_video_adverse,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client005_session01_highdef_video_adverse.mov
attack_highdef_client005_session01_highdef_video_controlled,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client005_session01_highdef_video_controlled.mov
attack_highdef_client010_session01_highdef_photo_adverse,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client010_session01_highdef_photo_adverse.mov
attack_highdef_client010_session01_highdef_photo_controlled,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client010_session01_highdef_photo_controlled.mov
attack_highdef_client010_session01_highdef_video_adverse,attack,fixed,devel,/Users/youbin/Desktop/replay_pad/data/devel/attack/fixed/attack_highdef_client010_session01_highdef_video_adverse.mov
